ID;1.vs.22;2.vs.23;3.vs.24;4.vs.25;5.vs.26;6.vs.27;7.vs.28;8.vs.29;9.vs.30;10.vs.31;11.vs.32;12.vs.33;13.vs.34;14.vs.35;15.vs.36;16.vs.37;17.vs.38;18.vs.39;19.vs.40;20.vs.41;21.vs.42
A0A3B6TFF6;1;0;0;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0
A0A3B6RJX1;1;0;0;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0
A0A3B6SP24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
A0A3B6TGD2;1;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0
A0A3B6TND9;1;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0
A0A3B6SA59;1;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0
A0A3B6TJA3;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1
A0A3B6TKG4;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1
U5MY58;1;0;1;1;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0
A0A3B6TJG9;1;0;1;1;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0
A0A3B6RFJ3;1;0;1;1;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0
A0A3B6SCV3;1;0;1;1;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0
A0A3B6TP78;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1
A0A3B6RJM8;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1
A0A3B6RNG4;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1
A0A3B6SP23;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1
A0A3B6TP90;1;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;1;1;1
A0A3B6SPU8;1;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;1;1;1
A0A3B6RL54;1;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;1;1;1
A0A3B6TXN5;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;0
A0A3B6SJ14;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;0
A0A3B6RQT0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;0
A0A3B6U183;1;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;1;0;1;1;0
P55313;1;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;1;0;1;1;0
A0A3B6U5E5;1;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0
A4K4Y4;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
A0A3B6ILR6;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
B1GXL6;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
D8L9A7;1;0;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0
A0A3B6B090;1;0;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0
W5BSJ0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0
E6Y3A2;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0
G0Z6F1;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;1;1
A0A3B5ZV55;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;1;1
A0A3B5Y160;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;1;1
A0A3B5Y1D2;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;1;1
I0IT63;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
